Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Адрес ВСП/ПВЗ|Режим работы ВСП/ПВЗ
8586/0279|2020-08-31 15:50:56|Иркутская область,город Братск, жилрайон Падун,улица Гидростроителей, дом 51|ПН-ПТ 10:00-18:00, СБ-ВС выходной
8586/0280|2020-08-31 15:50:56|Иркутская область,город Братск, жилрайон Энергетик,улица Мечтателей, дом 1|ПН-ПТ 10:00-18:00, СБ-ВС выходной
8586/0285|2021-03-30 18:30:22|Иркутская область,город Железногорск-Илимский,улица Янгеля, зд 16|ПН-ПТ 09:00-17:30, СБ 10:00-13:30, ВС выходной
8586/0290|2021-06-21 15:42:29|Иркутская область, Нижнеилимский район ,рабочий поселок Новая Игирма, мкр Химки, зд 9А|ПН-ПТ 09:30-17:30, СБ-ВС выходной
8586/0292|2020-08-28 03:14:04|Иркутская область,город Тулун,улица Ленина, дом 5|ПН-ПТ 09:00-18:00, СБ 09:00-14:30, ВС выходной
8586/0300|2020-08-28 03:14:03|Иркутская область,город Тулун, мкр Угольщиков, дом 5|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8586/0306|2021-06-07 13:59:20|Иркутская область,город Нижнеудинск,улица Октябрьская, дом 68|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8586/0314|2021-05-12 12:42:28|Иркутская область,город Нижнеудинск,улица Масловского, дом 11|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8586/0315|2021-05-12 12:42:28|Иркутская область,город Усть-Кут,улица Кирова, дом 21А|ПН-ПТ 09:00-17:30, СБ 10:00-14:30, ВС выходной
8586/0320|2021-06-21 15:42:29|Иркутская область,город Усть-Кут,улица Речников, дом 36|ПН-ПТ 09:30-17:30, СБ-ВС выходной
8586/0321|2021-06-21 15:42:29|Иркутская область, Казачинско-Ленский район ,рабочий поселок Магистральный,улица Российская, дом 1В|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8586/0325|2021-05-12 12:42:28|Иркутская область,город Киренск, мкр Центральный,улица И.Соснина, строение 14|ПН-ПТ 09:30-17:30, СБ-ВС выходной
8586/0330|2021-02-24 17:08:41|Иркутская область,город Тайшет,улица Гагарина, дом 94|ПН-ПТ 09:00-18:00, СБ 09:30-15:30, ВС выходной
8586/0339|2021-02-24 17:08:41|Иркутская область,город Тайшет,улица Транспортная, дом 11|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8586/0350|2021-06-21 15:42:29|Иркутская область,город Усть-Илимск,улица Ленина, дом 12Н|ПН-ПТ 09:30-18:00, СБ 10:00-13:00, ВС выходной
8586/0352|2021-06-21 15:42:29|Иркутская область,город Усть-Илимск,улица Наймушина, дом 1А|ПН-ПТ 10:00-18:30, СБ-ВС выходной
8586/0354|2021-06-21 15:42:29|Иркутская область,город Усть-Илимск, проспект Мира, дом 5|ПН-ПТ 09:30-18:00, СБ-ВС выходной
8586/0356|2021-02-24 17:08:40|Иркутская область,город Усть-Илимск, проспект Мира, дом 17|ПН-ПТ 09:30-18:00, СБ 10:00-13:30, ВС выходной
8586/0371|2020-08-31 15:50:56|г Иркутск,улица Байкальская, дом 206|ПН-ПТ 09:30-18:30, СБ 09:30-15:30, ВС выходной
8586/0372|2020-09-25 10:59:46|Иркутская область,город Ангарск, кв-л 88, дом 10|ПН-ПТ 10:00-19:00, СБ-ВС выходной
8586/0373|2020-08-31 15:50:56|г Иркутск,улица Розы Люксембург, дом 297А|ПН-ПТ 09:00-19:00, СБ 10:00-15:00, ВС выходной
8586/0379|2019-09-02 11:44:36|г Иркутск,улица Нижняя Набережная, дом 10|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8586/0387|2021-05-12 12:42:28|Иркутская область,город Усть-Илимск, проспект Мира, дом 70|ПН-ПТ 09:00-18:30, СБ 09:00-14:00, ВС выходной
8586/0389|2020-08-31 15:50:56|г Иркутск,улица Советская, дом 122|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8586/072|2021-06-21 15:42:29|г Иркутск, мкр Приморский, дом 32|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8586/079|2020-08-31 15:50:56|г Иркутск,улица Лермонтова, дом 90/1|ПН-ПТ 10:00-19:00, СБ 10:00-15:00, ВС выходной
8586/080|2020-08-31 15:50:56|г Иркутск,улица Розы Люксембург, дом 62|ПН-ПТ 09:00-18:30, СБ-ВС выходной
8586/087|2020-08-31 15:50:56|г Иркутск, проезд Ербанова, дом 6|ПН-ПТ 09:00-19:00, СБ 09:00-15:00, ВС выходной
8586/092|2020-08-31 15:50:56|г Иркутск,улица Урицкого, дом 19|ПН-ПТ 09:30-18:00, СБ 09:30-15:30, ВС 09:30-15:00
8586/095|2020-08-31 15:50:56|г Иркутск,улица Лермонтова, дом 136/2|ПН-ПТ 10:00-19:00, СБ-ВС выходной
8600/01|2020-09-28 03:14:22|г Чита,улица Ленина, дом 24|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8600/0100|2021-02-24 17:08:58|Забайкальский край,город Балей,улица Советская, дом 42|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8600/0107|2021-06-21 15:42:29|Забайкальский край,город Нерчинск,улица Советская, дом 26|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8600/0108|2021-08-17 12:37:24|Забайкальский край,город Сретенск,улица Луначарского, зд 190|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8600/0115|2021-02-24 17:08:35|Забайкальский край, пгт Чернышевск,улица Центральная, дом 23|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8600/012|2020-09-28 03:14:22|г Чита,улица Ленина, дом 55|ПН-ПТ 09:00-19:00, СБ 09:00-16:30, ВС 10:00-15:30
8600/0124|2021-05-12 12:42:28|Забайкальский край,город Борзя,улица Пушкина, дом 17|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8600/0128|2021-02-24 17:08:57|Забайкальский край,город Борзя,улица Ленина, дом 7|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8600/0131|2021-08-17 12:37:24|Забайкальский край, пгт Оловянная,улица Московская, дом 50|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8600/0133|2021-05-12 12:42:28|Забайкальский край, Оловяннинский район , пгт Ясногорск, мкр Солнечный, дом 8|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8600/0135|2021-05-12 12:41:31|Забайкальский край, с Нижний Цасучей,улица Комсомольская, дом 80|ПН-ПТ 08:30-17:00, СБ-ВС выходной
8600/0136|2021-02-24 17:08:36|Забайкальский край, пгт Забайкальск,улица Красноармейская, дом 19А|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8600/0141|2021-02-24 17:08:50|Забайкальский край,город Краснокаменск, проспект Строителей, дом 3|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8600/0143|2021-06-21 15:42:29|Забайкальский край,город Краснокаменск, мкр 4-й, дом 409|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8600/0147|2021-02-24 17:08:50|Забайкальский край,город Краснокаменск,улица Парковая, дом 1А|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8600/015|2020-09-28 03:14:22|г Чита,улица Бабушкина, дом 149|ПН-ПТ 09:00-18:00, СБ 10:00-17:00, ВС выходной
8600/0150|2021-08-17 12:37:24|Забайкальский край, пгт Приаргунск,улица Первомайская, влд 1|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8600/016|2021-08-17 12:37:23|г Чита,улица Кирова, дом 3|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8600/0161|2021-06-07 13:59:19|Забайкальский край,город Петровск-Забайкальский,улица Спортивная, дом 26|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8600/017|2021-05-12 12:42:28|г Чита, проспект Советов, дом 4|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8600/0170|2021-02-24 17:08:40|Забайкальский край,город Хилок,улица Ленина, дом 10|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8600/0174|2021-08-17 12:37:23|Забайкальский край, с Красный Чикой,улица Первомайская, дом 57|ПН-ПТ 09:00-17:15, СБ-ВС выходной
8600/018|2021-05-12 12:42:28|г Чита,улица Строителей, дом 5|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8600/02|2021-06-21 15:42:29|г Чита,улица Красной Звезды, дом 4|ПН-ПТ 09:30-18:30, СБ 09:00-16:00, ВС выходной
8600/0200|2020-09-28 03:14:22|г Чита,улица Богомягкова, дом 23|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8600/0203|2020-09-28 03:14:22|г Чита,улица Бутина, дом 50|ПН-ПТ 09:00-18:30, СБ 09:00-16:30, ВС выходной
8600/024|2020-09-28 03:14:22|г Чита, проспект Фадеева, дом 37|ПН-ПТ 09:00-18:00, СБ 09:00-16:00, ВС выходной
8600/027|2020-09-28 03:14:22|г Чита,улица Комсомольская, влд 60|ПН-ПТ 09:00-18:00, СБ 09:00-15:30, ВС выходной
8600/031|2020-09-28 03:14:22|г Чита,улица Весенняя, дом 1|ПН-ПТ 09:30-18:30, СБ 09:00-17:00, ВС выходной
8600/04|2021-05-12 12:42:28|г Чита,улица Красной Звезды, дом 58 строение 2|ПН-ПТ 09:00-19:00, СБ 09:00-16:30, ВС выходной
8600/049|2021-02-24 17:08:35|Забайкальский край, пгт Карымское,улица Ленинградская, дом 55|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8600/07|2020-09-28 03:14:22|г Чита, мкр 1-й, дом 36А|ПН-ПТ 09:30-18:30, СБ 10:00-16:30, ВС выходной
8600/070|2021-05-12 12:42:28|г Чита,улица Шилова, дом 8А|ПН-ПТ 09:30-18:30, СБ-ВС выходной
8600/071|2021-02-24 17:08:48|Забайкальский край,город Могоча,улица Клубная, дом 3|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8600/079|2021-02-24 17:08:36|Забайкальский край, Агинский район , пгт Агинское,улица Б.Цыренова, дом 13|ПН-ПТ 09:00-18:00, СБ 09:00-14:30, ВС выходной
8600/08|2020-09-28 03:14:22|г Чита,улица Журавлева, дом 20|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8600/082|2021-02-24 17:08:35|Забайкальский край, пгт Могойтуй,улица Бабушкина, дом 25|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8600/084|2021-08-17 12:37:23|Забайкальский край, с Дульдурга,улица Лазо, дом 28|ПН-ПТ 08:30-17:00, СБ-ВС выходной
8600/091|2021-06-21 15:42:29|Забайкальский край,город Шилка,улица Ленина, дом 31|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8601/0101|2021-06-21 15:42:29|г Улан-Удэ,улица Калашникова, дом 11|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8601/0105|2021-05-12 12:42:28|г Улан-Удэ,улица Ключевская, дом 70А|ПН-ПТ 09:00-18:00, СБ-ВС выходной
